iter	RMSE
0	20.97680316
1	20.56640437
2	20.17088557
3	19.81271197
4	19.4622089
5	19.1248096
6	18.77704564
7	18.48067317
8	18.1856833
9	17.9187552
10	17.64854153
11	17.34837563
12	17.08189945
13	16.83978139
14	16.6261402
15	16.38786192
16	16.20373794
17	15.95844533
18	15.72155627
19	15.50569855
20	15.30047236
21	15.1136929
22	14.95027484
23	14.76108785
24	14.6103299
25	14.41982331
26	14.2639839
27	14.12132159
28	13.98618665
29	13.84564389
30	13.73047246
31	13.59675079
32	13.48081044
33	13.35125809
34	13.21537842
35	13.07263913
36	12.96801097
37	12.86669257
38	12.74477892
39	12.66466385
40	12.55862214
41	12.45475992
42	12.37236088
43	12.2822215
44	12.19301352
45	12.11587785
46	12.02828988
47	11.94567212
48	11.85516287
49	11.76629369
50	11.68316678
51	11.6162935
52	11.53901274
53	11.48111223
54	11.40710077
55	11.33325581
56	11.26646699
57	11.20571698
58	11.15116879
59	11.08553282
60	11.04104108
61	10.99312847
62	10.93209951
63	10.88209922
64	10.83260553
65	10.77919836
66	10.71044352
67	10.65849266
68	10.60944265
69	10.56455425
70	10.50921748
71	10.46157463
72	10.41942535
73	10.36522338
74	10.29946391
75	10.24180586
76	10.21073196
77	10.16501568
78	10.13251716
79	10.09351208
80	10.05110772
81	10.00753188
82	9.969486229
83	9.935048768
84	9.895494929
85	9.840182567
86	9.790995734
87	9.753950169
88	9.713825785
89	9.664844912
90	9.61420866
91	9.583654627
92	9.550658972
93	9.521132856
94	9.485133903
95	9.451095665
96	9.405805706
97	9.378248255
98	9.348507537
99	9.323973677
100	9.281469375
101	9.251665305
102	9.22445116
103	9.188045341
104	9.141558132
105	9.105273304
106	9.065665913
107	9.030201687
108	9.006248865
109	8.981244446
110	8.938068276
111	8.902354253
112	8.871241221
113	8.849748662
114	8.824034679
115	8.792638764
116	8.76186218
117	8.736337507
118	8.706750952
119	8.677317212
120	8.653682836
121	8.620821728
122	8.588858834
123	8.558589761
124	8.526486343
125	8.488916342
126	8.468069711
127	8.445186505
128	8.421488323
129	8.391060137
130	8.365428883
131	8.335763454
132	8.315728682
133	8.284552216
134	8.257405649
135	8.228804282
136	8.194075203
137	8.171350374
138	8.141988056
139	8.118664228
140	8.095062472
141	8.069206636
142	8.040061703
143	8.026180805
144	7.997457794
145	7.974029001
146	7.955132448
147	7.929268594
148	7.912333964
149	7.888512476
150	7.872191735
151	7.848924863
152	7.825770583
153	7.803150913
154	7.772259794
155	7.738295945
156	7.724710892
157	7.700423933
158	7.68147604
159	7.656237194
160	7.639945322
161	7.607136572
162	7.587143459
163	7.541020983
164	7.51929584
165	7.498422287
166	7.47308035
167	7.459018368
168	7.434326393
169	7.421699549
170	7.396672083
171	7.374742724
172	7.353241703
173	7.334036719
174	7.313014997
175	7.289220186
176	7.256249434
177	7.234703297
178	7.212078233
179	7.192196825
180	7.17680686
181	7.147114716
182	7.118532224
183	7.10152616
184	7.089353398
185	7.064790535
186	7.042793143
187	7.014594589
188	6.989724115
189	6.978161551
190	6.957119198
191	6.928842378
192	6.90723257
193	6.888707234
194	6.861607842
195	6.845965445
196	6.82466765
197	6.801650519
198	6.788487754
199	6.765625135
200	6.744226254
201	6.737545786
202	6.711287369
203	6.694222966
204	6.669604584
205	6.659502816
206	6.629753595
207	6.608798954
208	6.584934683
209	6.5651355
210	6.541033115
211	6.518894976
212	6.493577736
213	6.463436669
214	6.440006867
215	6.410386888
216	6.403671753
217	6.398392949
218	6.378878969
219	6.361281893
220	6.355725276
221	6.331916394
222	6.305417767
223	6.28518664
224	6.263738589
225	6.257137271
226	6.239312102
227	6.214661436
228	6.19151735
229	6.166010751
230	6.138750624
231	6.134202278
232	6.107299886
233	6.085476277
234	6.063312595
235	6.046331769
236	6.02398354
237	6.019737297
238	6.00334732
239	5.980670768
240	5.952580178
241	5.948145885
242	5.925708178
243	5.908511327
244	5.886771704
245	5.869187696
246	5.845170759
247	5.825195173
248	5.802129294
249	5.797990512
250	5.785936364
251	5.766349843
252	5.761197734
253	5.739798639
254	5.714037608
255	5.700015648
256	5.68298383
257	5.658742844
258	5.641373788
259	5.623497992
260	5.602739579
261	5.598560081
262	5.580066146
263	5.56535813
264	5.550884264
265	5.533382527
266	5.514935366
267	5.511752709
268	5.492831773
269	5.473183952
270	5.470265477
271	5.455197912
272	5.443553061
273	5.427557411
274	5.41234634
275	5.409573488
276	5.390907786
277	5.375650495
278	5.360660326
279	5.338382107
280	5.322279726
281	5.30761066
282	5.304034583
283	5.288135905
284	5.284349714
285	5.254959168
286	5.241855597
287	5.23898248
288	5.218229701
289	5.198004678
290	5.183487285
291	5.170415456
292	5.167813727
293	5.149604296
294	5.133952771
295	5.119076276
296	5.116211458
297	5.102517849
298	5.08631026
299	5.069605395
300	5.064036905
301	5.047706913
302	5.044574288
303	5.031988287
304	5.019351877
305	4.993557237
306	4.97527813
307	4.961742828
308	4.942305311
309	4.924960892
310	4.909064181
311	4.892269813
312	4.890009411
313	4.8785356
314	4.868215905
315	4.859412504
316	4.843445398
317	4.841275873
318	4.825182687
319	4.809530119
320	4.794860981
321	4.777586264
